id,name,artist,artist_id,album,popularity,duration_ms,explicit,release_date
1XmUHGnHfqRDs3mc4SD1WP,Bang Your Head (Metal Health),Quiet Riot,1dLWg6m8RRhizsdqJbhyj3,Bang Your Head (Metal Health),0,307626,0,1983
6ZT36tXEKY2vvTCuNK4fi1,Metal Crusher,Toby Fox,57DlMWmbVIf2ssJ8QBpBau,UNDERTALE Soundtrack,57,63168,0,2015-09-15
65yNr1EO2TOBEYCz45tuOf,It Has To Be This Way - Platinum Mix,Jimmy Gnecco,5QcGYbIhQiKu472ypOrhJu,METAL GEAR RISING REVENGEANCE Vocal Tracks Selection,64,175506,0,2013-02-20
3LhvDGLS6Wi9PAKgzHTnEi,Hallelujah - Mein Herz schlägt Schlager Sessions,Steffy Metal,1fxIxrQnSfLa8xNFodmBmO,Hallelujah (Mein Herz schlägt Schlager Sessions),0,273173,0,2023-12-08
5nekfiTN45vlxG0eNJQQye,Fade To Black - Remastered,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Ride The Lightning (Deluxe / Remastered),72,417226,0,1984-07-26
41goAg1ZxePWjXXfZ7PhG7,Bluest Flame,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,I Said I Love You First,78,162995,0,2025-03-21
6vuVCtwukUA57ioTnKKeuL,Bluest Flame,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,I Said I Love You First,79,162995,0,2025-03-19
7FwfleIimLzAU6CyEtJVUD,Travelling Riverside Blues,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Travelling Riverside Blues,0,250368,0,1990-09-07
2RdEC8Ff83WkX7kDVCHseE,party 4 u,Charli xcx,25uiPmTg16RbhZWAqwLBy5,how i'm feeling now,91,296653,0,2020-05-15
4pZc4zC5lAuW7MYD0v5TjH,Bluest Flame,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,I Said I Love You First...,70,162995,0,2025-03-28
7gNR8OWTPG0M9C9nNWTjt9,Robert Johnson's Cross Road Blues,Robert Johnson,0f8MDDzIc6M4uH1xH0o0gy,Robert Johnson's Cross Road Blues,0,157866,0,2011-05-06
1DFmBjoeQN9DpOVTEewyx0,Ojos Tristes (with The Marías),Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,I Said I Love You First,85,201920,0,2025-03-21
1xcbBJGVb2TfqL39E3tAuh,Bluest Flame - DJ Sliink Remix,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,I Said I Love You First... And You Said It Back,54,164573,0,2025-05-02
4bmPQ6LktjFsLXa6VpdcOK,I Guess That's Why I Call It The Blues,Elton John,3PhoLpVuITZKcymswpck5b,I Guess That's Why I Call It The Blues,0,270165,0,1992
38GaHj4NhuqVo8jKvc1v5l,Bluestone Alley,Wei Congfei,2dd6B3Uhzim5ttqmISX9ez,Bluestone Alley,37,227449,0,2021-10-11
2sTxo60njz9U12NuQNlcX5,Bluest Flame,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,I Said I Love You First... And You Said It Back,57,162995,0,2025-05-02
3be9ACTxtcL6Zm4vJRUiPG,blue,yung kai,6zO1dZ40fTZ5hY9NnnRJSk,blue,92,214357,0,2024-08-02
0B12c3WyXj5Qn4iWT88PtD,"Autumn Leaves - Live at Blues Alley, January 1996",Eva Cassidy,6fNmOWQzfOVyHLQ2UqUQew,"Autumn Leaves (Live at Blues Alley, January 1996)",0,283434,0,2021-08-13
1nwdfbj4UyRMpa9L98a4Yi,Blue Side,j-hope,0b1sIQumIAsNbqAoIClSpy,Blue Side,61,198600,0,2021-03-02
11iIikXxC6NP0Ma8vMD27x,Alien Blues,Vundabar,1W4itxt3vwhmrgLEBuVHJ6,Gawk,80,155933,1,2015-07-24
5H0BLIHZpDyj1x03J7Dkou,Vietnamese Slang,BoB$,2vbacV9IWLEz4ias5FKnU9,Vietnamese Slang,24,180942,1,2024-09-20
4Nudo7D6XMAwTsaY39TBpJ,Tiến Lên Việt Nam Ơi,Sơn Tùng M-TP,5dfZ5uSmzR7VQK0udbAVpf,m-tp M-TP,47,218627,0,2017-04-01
