artist_id,genres,artist_popularity,artist_followers
46njgd2Rq9tZc4ZjeQMgbh,album rock,59,842364
7dn0rxwDJOMnEwDZv4eUdx,vinahouse,40,20198
7x83XhcMbOTl1UdYsPTuZM,dark cabaret|singer-songwriter,60,1443586
3efW4k0fha9Ksj7W2v4rTM,new age,32,35366
6kWudkWjOad7NFYhvNfzG0,vietnamese hip hop|vinahouse|v-pop,30,3900
3oGVQWQy7lgTMuTnKUZZNZ,anime|soundtrack,61,154897
6JswibhIUtHuljUDaNbuKP,,23,236
0spcNDKHmvQq0UpORm8zZN,,24,19613
5sK9cYMRqNOdY9Og2DKAgs,vinahouse|v-pop,50,100160
4y0wFJ5jmCUNRLZfsw1I7g,k-pop|c-pop,40,546810
4mRbd3BbVFIV5pEOBri77R,vinahouse|v-pop|vietnamese lo-fi,40,16594
12nEr6QOfSKkiTXjEp8tBB,deep house,58,91067
1Vc9oJC8vSXfirygPAL2Du,v-pop|vietnamese hip hop|vinahouse,30,69857
0gxyHStUsqpMadRV0Di1Qt,,66,1408589
1K2HzMiZLKcDituNXYRG8P,bossa nova,24,615
4phGZZrJZRo4ElhRtViYdl,soft pop|acoustic pop,74,7312525
3YvAeXMfGnrj0gKdH7rGuz,vinahouse|v-pop,24,703
2nmxgv9asWhQh4XgqfxK57,vinahouse|v-pop,43,3674
3euFcFd5Dc7JAz6t7oKg7m,v-pop|vinahouse|vietnam indie|vietnamese lo-fi,53,11054
4V2ZuYYkmNUpJVDrkp3oLh,rage rap,23,30911
1Xyo4u8uXC1ZmMpatF05PJ,,96,105271597
7lzordPuZEXxwt9aoVZYmG,,73,2297547
30b9WulBM8sFuBo17nNq9c,k-pop|k-rap,74,3558940
6vCnF48qqPHgVMBEvcbgkU,pinoy hip hop|pinoy r&b|opm,49,243729
1QAJqy2dA3ihHBFIHRphZj,dream pop,86,15841391
7i68fmsIERvgavI8Q1H09h,soundtrack,63,252219
0Y5tJX1MQlPlqiwlOH1tJY,rap,93,38780845
3diftVOq7aEIebXKkC34oR,v-pop|vietnamese hip hop|vietnam indie|vinahouse,66,1525597
0pjLiK5qb4Zr0PWRNkdd2o,southern gospel|christian country|gospel|christian,52,277902
0YkdsWWo0RAQtP1aEiozyS,,30,9653
5Peky9rOMytKOvpiq5cJcT,chinese r&b|c-pop|chinese hip hop|mandopop,39,9222
23Gbd21nBxC1kCtcG2Cd0C,v-pop|vietnam indie|city pop,48,88970
1z4g3DjTBBZKhvAroFlhOM,k-pop,70,9518690
6VSpS9nABDMDVGYQwl49t4,,28,5589
4w4Iyllv9FAqkq5yNw04tN,arabic hip hop|moroccan rap,36,147554
1WvNgEoB66jmHodcj15Zi9,vietnamese hip hop|v-pop|vinahouse|vietnam indie,59,1058214
4b6YJa43oNQEoGWqilql4m,vietnamese hip hop|v-pop,14,441
4yLgYK2B5nZjZMBiaLyLyK,,51,156514
2tIP7SsRs7vjIcLrU85W8J,,81,6276593
4fshEJAfGrhkxuTamxEImN,new wave,34,32930
1vb1XqzyNMQ16BqbxRz5BV,dark trap|underground hip hop,52,596301
6Y1m5hznF2CokCV8N79rrL,c-pop|mandopop,41,2712
3q99FhugmuibswXhLK0N0K,,35,37076
17hR0sYHpx7VYTMRfFUOmY,classical|classical piano|neoclassical,61,539175
5XOFNBUv0d2HrBVyTcWCKi,finnish pop|finnish hip hop,47,13887
3kbrbhnjLCObXwmOsqadXT,k-rock,35,12017
0u5ikKYYDO2XGyYjNGQRGf,vietnam indie|v-pop,46,55665
6CQ7EYVHudzCArbeXZYV4e,indie folk,39,7911
6UwPoe3ZqpC4OUuKgIinVW,indie folk,17,3513
5jTFNkoZebPnX90CbB3F2A,v-pop|vietnamese hip hop|vinahouse,55,989279
7tAyZfxpYvcMi8xJEtwGjL,,24,14560
1nQp0Yk9yxk2PJsXOtMR14,,58,48180
1TdtsDVivxc6PpkQdNuXdR,vietnam indie|v-pop,52,90207
401ikVSob52311M6Fwnunt,vietnamese hip hop|v-pop|vietnam indie,49,55411
2hEZUJYO26jhMzfw0ZzrCj,,37,27792
5w1g5MrRpY3zWraNx9HMXS,christian folk,49,17984
24ICho4HWjIQITW7hS4ao4,indie folk,32,3767
3eJkzc3PSoGAxivOq679pz,hindi indie|indian indie,24,2082
